DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.0075,0.021, -6213.02072203*(x-0.0075)*(x-0.0075)*(x-0.0075)-160.710992728*(x-0.0075)*(x-0.0075)+14.1075900827*(x-0.0075)+0.8587521314620972
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.021,0.033, 502.29682055*(x-0.021)*(x-0.021)*(x-0.021)-156.254082106*(x-0.021)*(x-0.021)+6.37142419926*(x-0.021)+1.0046286582946777
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.033,0.046, -7388.0441906*(x-0.033)*(x-0.033)*(x-0.033)+34.9007672865*(x-0.033)*(x-0.033)+2.83831845519*(x-0.033)+1.0594531297683716
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.046,0.061, 936.543806468*(x-0.046)*(x-0.046)*(x-0.046)-46.6458048699*(x-0.046)*(x-0.046)+0.0*(x-0.046)+1.0860179662704468
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.061,0.078, 10398.7820987*(x-0.061)*(x-0.061)*(x-0.061)-242.604029495*(x-0.061)*(x-0.061)-0.767207076731*(x-0.061)+1.0786834955215454
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.078,0.098, -8670.91282823*(x-0.078)*(x-0.078)*(x-0.078)+262.338849826*(x-0.078)*(x-0.078)+0.0*(x-0.078)+1.0466176271438599
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.098,0.124, 2.35459597033*(x-0.098)*(x-0.098)*(x-0.098)-1.79295615009*(x-0.098)*(x-0.098)+0.088458599177*(x-0.098)+1.0821858644485474
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.124,0.161, 21.4241453942*(x-0.124)*(x-0.124)*(x-0.124)-2.18741594404*(x-0.124)*(x-0.124)+0.0*(x-0.124)+1.083315134048462
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.161,0.215, 3.40159358802*(x-0.161)*(x-0.161)*(x-0.161)-1.49280373834*(x-0.161)*(x-0.161)-0.0738798147248*(x-0.161)+1.081405758857727
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.215,0.3, 82.5754560113*(x-0.215)*(x-0.215)*(x-0.215)-9.3204560664*(x-0.215)*(x-0.215)-0.205345477757*(x-0.215)+1.073598861694336
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.3,0.6815, 1.78462880711*(x-0.3)*(x-0.3)*(x-0.3)+0.29994800509*(x-0.3)*(x-0.3)+0.0*(x-0.3)+1.0395158529281616
3, iterativefit, down_hfstats2,2,0.0,0.8,20.0,30.0,0.6815,1.1, 1.18226134777
3, iterativefit, down_hfstats2,2,0.8,1.6,20.0,30.0,-15.0,0.0, 0.0
3, iterativefit, down_hfstats2,2,0.8,1.6,20.0,30.0,0.0,0.008, 0.935259103775
3, iterativefit, down_hfstats2,2,0.8,1.6,20.0,30.0,0.008,0.0225, -4869.49373554*(x-0.008)*(x-0.008)*(x-0.008)-73.9906534875*(x-0.008)*(x-0.008)+7.91922719499*(x-0.008)+0.9352591037750244
3, iterativefit, down_hfstats2,2,0.8,1.6,20.0,30.0,0.0225,0.036000000000000004, -641.237969802*(x-0.0225)*(x-0.0225)*(x-0.0225)-60.10374392*(x-0.0225)*(x-0.0225)+2.70206507016*(x-0.0225)+1.0196861028671265
3, iterativefit, down_hfstats2,2,0.8,1.6,20.0,30.0,0.036000000000000004,0.051, -783.865786389*(x-0.036)*(x-0.036)*(x-0.036)-6.65192395066*(x-0.036)*(x-0.036)+0.728667124332*(x-0.036)+1.0436323881149292
